COURSECODE,COURSETITLE,DELIVERY,CLASSNUM,STATUS,DURATION,STUMAX,PRICE,CATEGORY,SUBCATEGORY
WM664,IBM WebSphere Message Broker V8 Application Development I,CLASSROOM,M92R,Available           ,5,8,3625,Application Integration,WebSphere Message Broker
WPL53,Developing Applications for IBM WebSphere Portal 8.0 using IBM RAD 8.5,CLASSROOM,MY19,Available           ,5,12,3500,WebSphere Portal,IBM WebSphere Portal V8.0
WPL53,Developing Applications for IBM WebSphere Portal 8.0 using IBM RAD 8.5,CLASSROOM,MY20,Available           ,5,12,3500,WebSphere Portal,IBM WebSphere Portal V8.0
WPL81,Installation and Administration of IBM WebSphere Portal 7.0 on Windows,CLASSROOM,M01B,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
WPL81,Installation and Administration of IBM WebSphere Portal 7.0 on Windows,CLASSROOM,M02F,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
WPL83,Installation and Administration of IBM WebSphere Portal 8 on Windows,CLASSROOM,M00Z,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
WPL83,Installation and Administration of IBM WebSphere Portal 8 on Windows,CLASSROOM,M014,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
WPL91,Installation and Administration of IBM WebSphere Portal 7.0 on Linux,CLASSROOM,M008,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
WPL91,Installation and Administration of IBM WebSphere Portal 7.0 on Linux,CLASSROOM,M02H,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
WPL93,Installation and Administration of IBM WebSphere Portal 8 on Linux,CLASSROOM,M001,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
WPL93,Installation and Administration of IBM WebSphere Portal 8 on Linux,CLASSROOM,M016,Available           ,5,10,3500,WebSphere Portal,IBM Websphere Portal 7.0
D8L76,Building the IBM Lotus Domino 8.5 Infrastructure,CLASSROOM,M01F,Available           ,2,10,1200,Lotus,IBM Notes and Domino 8.5
D8L76,Building the IBM Lotus Domino 8.5 Infrastructure,CLASSROOM,M02K,Available           ,2,10,1200,Lotus,IBM Notes and Domino 8.5
TW172,IBM Tivoli Access Manager for ESSO 8.1 Deployment and Administration,CLASSROOM,MZ44,Available           ,4,8,3000,Security Systems,Identity and Access Management
TW172,IBM Tivoli Access Manager for ESSO 8.1 Deployment and Administration,CLASSROOM,MZ43,Available           ,4,8,3000,Security Systems,Identity and Access Management
1SP20,Implementing IBM SmartCloud Entry on Power Systems,CLASSROOM,M3N8,Available           ,2,8,1950,Cloud Computing,Cast Iron Systems
BQ120,IBM Security QRadar SIEM 7.1 Advanced,CLASSROOM,M071,Available           ,2,8,1700,Security Systems,Security Intelligence
BQ120,IBM Security QRadar SIEM 7.1 Advanced,CLASSROOM,MZ46,Available           ,2,8,1500,Security Systems,Security Intelligence
BQ120,IBM Security QRadar SIEM 7.1 Advanced,CLASSROOM,MZ45,Available           ,2,8,1500,Security Systems,Security Intelligence
D8L77,Managing IBM Lotus Domino 8.5 Servers and Users,CLASSROOM,M01G,Available           ,3,10,1800,Lotus,IBM Notes and Domino 8.5
D8L77,Managing IBM Lotus Domino 8.5 Servers and Users,CLASSROOM,M02L,Available           ,3,10,1800,Lotus,IBM Notes and Domino 8.5
ES050,An Introduction to the z/OS Environment,CLASSROOM,M3M8,Available           ,2,8,1195,"IBM System z (z/OS, z/VM, Linux)",System z Basics
ES732,IBM System z Parallel Sysplex Operations,CLASSROOM,MZ19,Available           ,3,8,2795,"IBM System z (z/OS, z/VM, Linux)",Parallel Sysplex
ES732,IBM System z Parallel Sysplex Operations,CLASSROOM,MZ20,Available           ,3,8,2795,"IBM System z (z/OS, z/VM, Linux)",Parallel Sysplex
TW261,IBM Tivoli Identity Manager 5.1 System Administration,CLASSROOM,M3O2,Available           ,3,8,2250,Security Systems,Identity and Access Management
1R047,IBM Cognos ICM Reporting Using Presenter Version 7.3 - ILO,CLASSROOM,NJ52,Available           ,2,12,1400,Varicent,Cognos ICM (version 7.x)
6L222,IBM WebSphere Commerce V7 System Administration (Remote Classroom),CLASSROOM,MY30,Available           ,5,12,3875,WebSphere Commerce,WebSphere Commerce Site Administration
6T222,IBM WebSphere Commerce V7 System Administration,CLASSROOM,MY29,Available           ,5,12,3875,WebSphere Commerce,WebSphere Commerce Site Administration
6T224,Programming Essentials for IBM WebSphere Commerce V7 Customization,CLASSROOM,M328,Available           ,5,8,3875,WebSphere Commerce,WebSphere Commerce Development and Customization
6T611,IBM Sterling B2B Integrator Fundamentals,CLASSROOM,M32Y,Available           ,5,8,3750,B2B Integration,IBM Sterling B2B Integrator
6T636,IBM Sterling B2B Integrator Administration and Tuning,CLASSROOM,M3C1,Available           ,4,8,3000,B2B Integration,IBM Sterling B2B Integrator
9T332,IBM Unica Campaign 8.6 Administration,CLASSROOM,M265,Available           ,2,8,1500,Cross Channel Campaign Management,Unica Campaign
AN100,UNIX / AIX Basics,CLASSROOM,M30W,Available           ,4,8,2825,"IBM System p, AIX, and UNIX",AIX System Administration
AN110,Power Systems for AIX I: LPAR Configuration and Planning,CLASSROOM,M27D,Available           ,3,8,2265,"IBM System p, AIX, and UNIX",Logical Partitioning (LPAR)
AN110,Power Systems for AIX I: LPAR Configuration and Planning,CLASSROOM,MZ48,Standby             ,3,8,2265,"IBM System p, AIX, and UNIX",Logical Partitioning (LPAR)
